Team,Year,Season,Week,Opponent,Outcome,Score,Points For,Points Against,Margin of Victory,Opponent Name,Real Opponent Name,
Poppy's Champions,2015,5,2,avatar The Black Shepherd,Win,118.76 - 107.66,118.76,107.66,11.1,The Black Shepherd,The Black Shepherd,
Poppy's Champions,2015,5,3,avatar Surace,Win,151.08 - 99.76,151.08, 99.76,51.32,Surace,Surace,
Poppy's Champions,2015,5,4,avatar Dune Squad,Win,101.36 - 98.96,101.36, 98.96,2.4,Dune Squad,Dune Squad,
Poppy's Champions,2015,5,5,avatar Commissioner Gordon,Loss,100.74 - 137.34,100.74,137.34,-36.6,Commissioner Gordon,Commissioner Gordon,
Poppy's Champions,2015,5,6,avatar richard,Loss,108.30 - 132.68,108.30,132.68,-24.38,richard,richard,
Poppy's Champions,2015,5,7,avatar GhostingTheLombardi,Win,126.42 - 114.54,126.42,114.54,11.88,GhostingTheLombardi,GhostingTheLombardi,
Poppy's Champions,2015,5,8,avatar Milk Man,Win,93.18 - 87.34,93.18 , 87.34,5.84,Milk Man,Milk Man,
Poppy's Champions,2015,5,9,avatar Black Mass,Loss,120.76 - 175.82,120.76,175.82,-55.06,Black Mass,Black Mass,
Poppy's Champions,2015,5,10,avatar The People's Champ,Win,116.32 - 106.82,116.32,106.82,9.5,The People's Champ,The People's Champ,
Poppy's Champions,2015,5,11,avatar The Black Shepherd,Win,86.78 - 83.72,86.78 , 83.72,3.06,The Black Shepherd,The Black Shepherd,
Poppy's Champions,2015,5,12,avatar Surace,Win,140.18 - 132.04,140.18,132.04,8.14,Surace,Surace,
Poppy's Champions,2015,5,13,avatar richard,Loss,96.12 - 99.52,96.12 , 99.52,-3.4,richard,richard,
Richard,2015,5,1,avatar The Black Shepherd,Win,118.32 - 108.76,118.32,108.76,9.56,The Black Shepherd,The Black Shepherd,
Richard,2015,5,2,avatar Surace,Win,116.60 - 101.44,116.60,101.44,15.16,Surace,Surace,
Richard,2015,5,3,avatar GhostingTheLombardi,Loss,80.90 - 115.92,80.90 ,115.92,-35.02,GhostingTheLombardi,GhostingTheLombardi,
Richard,2015,5,4,avatar Black Mass,Loss,68.02 - 106.34,68.02 ,106.34,-38.32,Black Mass,Black Mass,
Richard,2015,5,5,avatar The People's Champ,Win,164.82 - 109.88,164.82,109.88,54.94,The People's Champ,The People's Champ,
Richard,2015,5,6,avatar Poppy's Champions,Win,132.68 - 108.30,132.68,108.30,24.38,Poppy's Champions,Poppy's Champions,
Richard,2015,5,7,avatar Milk Man,Loss,79.02 - 97.20,79.02 , 97.20,-18.18,Milk Man,Milk Man,
Richard,2015,5,8,avatar The Black Shepherd,Win,144.34 - 87.64,144.34, 87.64,56.7,The Black Shepherd,The Black Shepherd,
Richard,2015,5,9,avatar The Wolf of Greek St,Win,125.88 - 121.48,125.88,121.48,4.4,The Wolf of Greek St,The Wolf of Greek St,
Richard,2015,5,10,avatar The Mighty Albatross,Loss,82.68 - 127.62,82.68 ,127.62,-44.94,The Mighty Albatross,The Mighty Albatross,
Richard,2015,5,11,avatar Surace,Loss,65.66 - 88.32,65.66 , 88.32,-22.66,Surace,Surace,
Richard,2015,5,12,avatar GhostingTheLombardi,Win,123.70 - 97.12,123.70, 97.12,26.58,GhostingTheLombardi,GhostingTheLombardi,
Richard,2015,5,13,avatar Poppy's Champions,Win,99.52 - 96.12,99.52 , 96.12,3.4,Poppy's Champions,Poppy's Champions,
The Black Shepherd,2015,5,1,avatar richard,Loss,108.76 - 118.32,108.76,118.32,-9.56,richard,richard,
The Black Shepherd,2015,5,2,avatar Poppy's Champions,Loss,107.66 - 118.76,107.66,118.76,-11.1,Poppy's Champions,Poppy's Champions,
The Black Shepherd,2015,5,3,avatar Milk Man,Loss,103.72 - 139.20,103.72,139.20,-35.48,Milk Man,Milk Man,
The Black Shepherd,2015,5,4,avatar The Wolf of Greek St,Win,92.76 - 83.16,92.76 , 83.16,9.6,The Wolf of Greek St,The Wolf of Greek St,
The Black Shepherd,2015,5,5,avatar The Mighty Albatross,Win,154.90 - 121.54,154.90,121.54,33.36,The Mighty Albatross,The Mighty Albatross,
The Black Shepherd,2015,5,6,avatar GhostingTheLombardi,Win,137.82 - 103.22,137.82,103.22,34.6,GhostingTheLombardi,GhostingTheLombardi,
The Black Shepherd,2015,5,7,avatar Surace,Win,127.14 - 102.40,127.14,102.40,24.74,Surace,Surace,
The Black Shepherd,2015,5,8,avatar richard,Loss,87.64 - 144.34,87.64 ,144.34,-56.7,richard,richard,
The Black Shepherd,2015,5,9,avatar Dune Squad,Loss,70.70 - 95.72,70.70 , 95.72,-25.02,Dune Squad,Dune Squad,
The Black Shepherd,2015,5,10,avatar Commissioner Gordon,Win,121.24 - 72.36,121.24, 72.36,48.88,Commissioner Gordon,Commissioner Gordon,
The Black Shepherd,2015,5,11,avatar Poppy's Champions,Loss,83.72 - 86.78,83.72 , 86.78,-3.06,Poppy's Champions,Poppy's Champions,
The Black Shepherd,2015,5,12,avatar Milk Man,Loss,88.40 - 93.84,88.40 , 93.84,-5.44,Milk Man,Milk Man,
The Black Shepherd,2015,5,13,avatar GhostingTheLombardi,Loss,83.84 - 94.90,83.84 , 94.90,-11.06,GhostingTheLombardi,GhostingTheLombardi,
The Mighty Albatross,2015,5,1,avatar The Wolf of Greek St,Win,139.52 - 72.20,139.52, 72.20,67.32,The Wolf of Greek St,The Wolf of Greek St,
The Mighty Albatross,2015,5,2,avatar Commissioner Gordon,Win,100.38 - 88.90,100.38, 88.90,11.48,Commissioner Gordon,Commissioner Gordon,
The Mighty Albatross,2015,5,3,avatar The People's Champ,Loss,147.74 - 149.88,147.74,149.88,-2.14,The People's Champ,The People's Champ,
The Mighty Albatross,2015,5,4,avatar GhostingTheLombardi,Win,110.38 - 79.34,110.38, 79.34,31.04,GhostingTheLombardi,GhostingTheLombardi,
