Year,POS,Player,Team,Sack
2016,DEF,Vinny Curry,Phi,2.5
2016,DEF,Brian Cushing,Hou,0
2016,DEF,Jonathan Cyprien,Jax,1
2016,DEF,Andy Dalton,Cin,0
2016,DEF,Jordan Dangerfield,Pit,0
2016,DEF,Mike Daniels,GB,4
2016,DEF,Karlos Dansby,Cin,1
2016,DEF,Ronald Darby,Buf,0
2016,DEF,Marcell Dareus,Buf,3.5
2016,DEF,Orleans Darkwa,NYG,0
2016,DEF,Matt Darr,Mia,0
2016,DEF,Todd Davis,Den,0.5
2016,DEF,Chris Davis,SF,0.5
2016,DEF,Demario Davis,Cle,2
2016,DEF,Vernon Davis,Was,0
2016,DEF,Kellen Davis,NYJ,0
2016,DEF,Ryan Davis,Dal,0
2016,DEF,Mike Davis,SF,0
2016,DEF,Tyeler Davison,NO,0
2016,DEF,Paul Dawson,Cin,0
2016,DEF,Sheldon Day,Jax,1
2016,DEF,David DeCastro,Pit,0
2016,DEF,Eric Decker,NYJ,0
2016,DEF,Taylor Decker,Det,0
2016,DEF,Ryan Delaire,Car,1
2016,DEF,Darqueze Dennard,Cin,0
2016,DEF,John Denney,Mia,0
2016,DEF,Akeem Dent,Hou,0
2016,DEF,Zak DeOssie,NYG,0
2016,DEF,Pierre Desir,SD,0
2016,DEF,Seth Devalve,Cle,0
2016,DEF,James Develin,NE,0
2016,DEF,Quinton Dial,SF,0
2016,DEF,Ed Dickson,Car,0
2016,DEF,Quandre Diggs,Det,0
2016,DEF,Stefon Diggs,Min,0
2016,DEF,K.J. Dillon,Hou,0
2016,DEF,Patrick DiMarco,Atl,0
2016,DEF,Brian Dixon,NO,0
2016,DEF,Travell Dixon,Car,0
2016,DEF,Kevin Dodd,Ten,1
2016,DEF,Aaron Donald,LA,8
2016,DEF,Larry Donnell,NYG,0
2016,DEF,Makinton Dorleant,GB,0
2016,DEF,Glenn Dorsey,SF,1
2016,DEF,Lorenzo Doss,Den,0
2016,DEF,Leger Douzable,Buf,1.5
2016,DEF,Jack Doyle,Ind,0
2016,DEF,Dakota Dozier,NYJ,0
2016,DEF,Kenyan Drake,Mia,0
2016,DEF,Spencer Drango,Cle,0
2016,DEF,Shaun Draughn,SF,0
2016,DEF,Justin Drescher,NO,0
2016,DEF,Vlad Ducasse,Bal,0
2016,DEF,Elvis Dumervil,Bal,3
2016,DEF,Lance Dunbar,Dal,0
2016,DEF,Carlos Dunlap,Cin,8
2016,DEF,Brandon Dunn,Hou,0
2016,DEF,Alvin Dupree,Pit,4.5
2016,DEF,Justin Durant,Dal,1
2016,DEF,Nick Dzubnar,SD,0
2016,DEF,Dominique Easley,LA,3.5
2016,DEF,Nick Easton,Min,0
2016,DEF,Nate Ebner,NE,0
2016,DEF,Eric Ebron,Det,0
2016,DEF,Kasim Edebali,NO,1
2016,DEF,Julian Edelman,NE,0
2016,DEF,Lavar Edwards,Ind,2
2016,DEF,Lachlan Edwards,NYJ,0
2016,DEF,Mario Edwards Jr.,Oak,0
2016,DEF,Tyler Eifert,Cin,0
2016,DEF,Matt Elam,Bal,0
2016,DEF,Dannell Ellerbe,NO,4
2016,DEF,Javien Elliott,TB,0
2016,DEF,DeAndre Elliott,Sea,0
2016,DEF,Jayrone Elliott,GB,1
2016,DEF,Ezekiel Elliott,Dal,0
2016,DEF,Alex Ellis,Jax,0
2016,DEF,Justin Ellis,Oak,0
2016,DEF,Kyle Emanuel,SD,0.5
2016,DEF,Quincy Enunwa,NYJ,0
2016,DEF,Zach Ertz,Phi,0
2016,DEF,Tyler Ervin,Hou,0
2016,DEF,Cameron Erving,Cle,0
2016,DEF,Gavin Escobar,Dal,0
2016,DEF,Jahri Evans,NO,0
2016,DEF,Marwin Evans,GB,0
2016,DEF,Josh Evans,Was,0
2016,DEF,Mike Evans,TB,0
2016,DEF,Kyler Fackrell,GB,2
2016,DEF,Nick Fairley,NO,6.5
2016,DEF,George Fant,Sea,0
2016,DEF,Matthias Farley,Ind,0
2016,DEF,George Farmer,Sea,0
2016,DEF,Kenneth Farrow,SD,0
2016,DEF,Terrence Fede,Mia,0
2016,DEF,Clayton Fejedelem,Cin,0
2016,DEF,Josh Ferguson,Ind,0
2016,DEF,B.J. Finney,Pit,0
2016,DEF,Joe Flacco,Bal,0
2016,DEF,Coby Fleener,NO,0
2016,DEF,Ereck Flowers,NYG,0
2016,DEF,Marquis Flowers,Cin,0
2016,DEF,Trey Flowers,NE,7
2016,DEF,Leonard Floyd,Chi,7
2016,DEF,Michael Floyd,Ari,0
2016,DEF,Nick Folk,NYJ,0
2016,DEF,Kai Forbath,Min,0
